"title,movie_info_idx",title.id=movie_info_idx.movie_id,"title.kind_id,=,7,movie_info_idx.info_type_id,>,99",283812
"title,movie_companies",title.id=movie_companies.movie_id,"title.kind_id,<,7,movie_companies.company_id,=,186,movie_companies.company_type_id,=,1",72
movie_keyword,,"movie_keyword.keyword_id,=,2547",137
movie_companies,,"movie_companies.company_id,=,15550,movie_companies.company_type_id,<,2",285
"title,movie_info_idx,movie_keyword","title.id=movie_info_idx.movie_id,title.id=movie_keyword.movie_id","movie_info_idx.info_type_id,>,99,movie_keyword.keyword_id,<,7861",4252498
"title,movie_keyword",title.id=movie_keyword.movie_id,"movie_keyword.keyword_id,=,17072",13
"title,movie_info",title.id=movie_info.movie_id,"title.kind_id,=,2,title.production_year,<,2007,movie_info.info_type_id,<,4",168393
"title,cast_info",title.id=cast_info.movie_id,"title.kind_id,=,2,title.production_year,=,1962",2240
"title,movie_companies,movie_info_idx","title.id=movie_companies.movie_id,title.id=movie_info_idx.movie_id","movie_companies.company_id,=,225,movie_companies.company_type_id,=,1,movie_info_idx.info_type_id,<,100",1315
movie_companies,,"movie_companies.company_id,=,63714,movie_companies.company_type_id,>,1",6
cast_info,,"cast_info.person_id,>,309670,cast_info.role_id,=,1",10365211
"title,movie_keyword",title.id=movie_keyword.movie_id,"title.kind_id,=,7,title.production_year,=,1986,movie_keyword.keyword_id,<,866",885
"title,movie_keyword",title.id=movie_keyword.movie_id,"title.kind_id,=,7,movie_keyword.keyword_id,=,11565",98
"title,movie_keyword",title.id=movie_keyword.movie_id,"movie_keyword.keyword_id,=,2241",2024
"title,cast_info,movie_keyword","title.id=cast_info.movie_id,title.id=movie_keyword.movie_id","title.kind_id,=,7,title.production_year,<,1979,movie_keyword.keyword_id,<,439",199913
"title,cast_info,movie_info","title.id=cast_info.movie_id,title.id=movie_info.movie_id","title.kind_id,<,7,cast_info.role_id,>,2,movie_info.info_type_id,<,16",94970489
movie_keyword,,"movie_keyword.keyword_id,<,14840",3298164
"title,movie_info,movie_info_idx","title.id=movie_info.movie_id,title.id=movie_info_idx.movie_id","title.production_year,<,1965,movie_info.info_type_id,<,3",331466
movie_keyword,,"movie_keyword.keyword_id,<,22225",3695577
movie_companies,,"movie_companies.company_id,>,189",2243847
"title,cast_info,movie_info","title.id=cast_info.movie_id,title.id=movie_info.movie_id","title.kind_id,=,1,title.production_year,=,1983,cast_info.role_id,<,3",1467630
"title,movie_companies,cast_info","title.id=movie_companies.movie_id,title.id=cast_info.movie_id","movie_companies.company_id,<,92,movie_companies.company_type_id,>,1",1154966
title,,"title.kind_id,=,2,title.production_year,>,2003",40813
"title,movie_info",title.id=movie_info.movie_id,"title.production_year,<,2006,movie_info.info_type_id,<,3",1352882
"title,movie_companies,cast_info","title.id=movie_companies.movie_id,title.id=cast_info.movie_id","movie_companies.company_id,>,862,movie_companies.company_type_id,>,1,cast_info.person_id,=,898941,cast_info.role_id,>,2",340
"title,movie_companies",title.id=movie_companies.movie_id,"title.kind_id,=,7,title.production_year,>,1899,movie_companies.company_type_id,<,2",314718
"title,movie_info",title.id=movie_info.movie_id,"title.kind_id,=,7,title.production_year,>,1924,movie_info.info_type_id,<,5",882735
